pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
1.3327778e-07,0.45317483,-22.782112,-64.29217,60.053112,-43.664295,-13.405925,8.692346,-26.955061,25.45127,-11.722553,-0.5689309,-2.8546286,-5.1648793,0.7372021,0.9685188,1.1149057,1.2326039,1.4027818,1.471337,1.9360384,2.609306,0.38333333,0.27181914,0.0,113.93814
1.5756667e-07,0.54805726,-22.180595,-62.37627,57.178707,-45.022312,-10.101831,11.215814,-24.970625,24.871248,-15.627091,-3.4273083,-4.7664285,-6.4293747,0.7085692,0.97167677,1.1137694,1.2522032,1.4077483,1.4754969,1.9843494,2.6285913,0.3925,0.26382995,0.0,113.93814
7.426499e-08,0.4575162,-22.920034,-61.573483,55.161488,-48.45633,-11.189685,13.4067955,-27.827744,20.803381,-16.037872,-1.8039368,-4.5335097,-6.0302424,0.7526932,0.99533075,1.1242765,1.2725263,1.4114585,1.4832344,2.0314295,2.6526444,0.3983333,0.27179366,0.0,113.93814
4.5518786e-07,0.65271336,-21.666033,-57.238728,54.902206,-48.475933,-10.2051115,19.369392,-25.536873,20.616983,-11.272377,-2.024668,-6.2723827,-5.4420323,0.7280035,1.008581,1.1227146,1.2847921,1.4071964,1.5079104,2.0666401,2.6620414,0.4025,0.24501528,0.0,113.93814
4.3541687e-07,0.5964557,-18.143412,-56.756725,56.91455,-48.592144,-12.203816,17.693872,-29.04917,16.4403,-11.32422,-1.0467652,-5.912155,-7.6445045,0.7310154,1.016533,1.1254463,1.2773873,1.3993484,1.5064577,2.008981,2.6353629,0.4,0.2735285,0.0,113.93814
4.2383786e-07,0.5645189,-15.072917,-52.96013,60.314007,-47.357433,-14.666572,16.993563,-28.919928,12.1662855,-12.142728,-2.3691041,-8.151188,-13.279193,0.7135492,1.0084809,1.1256846,1.2635978,1.3949261,1.5144984,1.9655361,2.6184895,0.38833332,0.2817757,0.0,113.93814
3.045267e-08,0.34404016,-10.322837,-56.1703,66.24395,-50.537952,-14.082219,9.825835,-36.047066,9.577302,-16.673225,-2.6564705,-11.612416,-13.897847,0.6996835,0.9955743,1.1233311,1.2400346,1.3822273,1.4783186,1.7962681,2.5410538,0.3791667,0.3321732,0.0,113.93814
2.9877285e-07,0.56070864,-12.593509,-51.62834,65.94147,-46.410725,-14.685506,12.0081415,-34.600063,10.361203,-10.813006,-1.9551426,-5.3536706,-10.8447075,0.6659987,0.9897719,1.1294683,1.2468398,1.3831991,1.49895,1.8866969,2.5640152,0.37583336,0.33119223,0.0,113.93814
3.6214354e-07,0.6590225,-13.915925,-53.5271,66.1529,-45.54497,-10.008807,14.952675,-31.723852,10.466115,-11.39373,-7.4303665,-5.692042,-10.9212675,0.62075007,0.98753446,1.1290456,1.2436296,1.3723215,1.4909736,1.8889536,2.5021222,0.37666667,0.32279238,0.0,113.93814
3.4929565e-07,0.6073324,-16.88334,-54.331863,64.66727,-42.255287,-12.093925,22.004286,-26.571592,11.590332,-6.5342197,-5.750828,-3.758914,-9.404748,0.64879364,0.9931366,1.1334038,1.2395216,1.3692003,1.4815207,1.9437666,2.5596037,0.37749997,0.32611036,0.0,113.93814
8.2993125e-08,0.400172,-18.412123,-58.990704,64.33109,-44.181248,-14.464547,24.491333,-25.163843,12.486256,-5.6443,-3.9721134,-7.1549377,-11.108607,0.7248457,1.0077357,1.1331016,1.2241592,1.3645784,1.4628376,1.9553477,2.5691004,0.37250003,0.33907375,0.0,113.93814
1.858727e-08,0.29776305,-20.113379,-58.48451,60.68709,-41.20638,-16.750542,26.464472,-25.658895,16.211119,1.4321977,3.4628696,-5.2834287,-10.807392,0.80450183,1.0324368,1.1382555,1.2342806,1.3735207,1.4902622,2.057635,2.6572819,0.37250003,0.3426043,0.0,113.93814
3.3709316e-08,0.35490486,-22.281134,-54.67766,57.645477,-38.770794,-15.579945,28.97593,-24.108124,15.850013,3.0639086,-0.05468114,-2.8713305,-11.704524,0.7812322,1.045039,1.1459717,1.2527908,1.3853079,1.5413781,2.1804981,2.678045,0.37166667,0.34913197,0.0,113.93814
3.5915317e-08,0.36344346,-21.752493,-53.733,59.80879,-39.76544,-11.0766325,28.165121,-25.35502,16.237396,3.329715,0.020994663,-1.6768793,-10.277212,0.725044,1.0342854,1.1516534,1.2562242,1.3795677,1.5277373,2.0767488,2.6372015,0.37749997,0.3571544,0.0,113.93814
3.986895e-08,0.37752494,-23.37184,-52.800232,61.204773,-39.62717,-8.472848,29.187963,-24.136698,17.288567,-1.1185697,-3.1964676,-0.35181054,-9.619874,0.68211013,1.0254809,1.1592479,1.262817,1.384832,1.5210242,2.0690162,2.6384895,0.38250002,0.3987672,0.0,113.93814
2.8631908e-08,0.34280387,-24.266584,-53.67127,63.161785,-41.292244,-6.886523,27.94252,-21.724535,21.220942,-2.7434852,0.31208232,0.80882436,-9.015294,0.70095396,1.0225052,1.158913,1.269018,1.3864311,1.4937598,2.0280607,2.6261008,0.38749996,0.3715129,0.0,113.93814
2.3087784e-08,0.31712326,-24.952581,-50.745056,64.25813,-39.48872,-7.3544006,31.294592,-20.236788,18.300344,-10.776051,-4.609972,0.45195976,-9.213632,0.6841471,1.0289435,1.1554083,1.2753652,1.3861012,1.5011387,2.0771549,2.6528978,0.38666666,0.3335217,0.0,113.93814
