Feature,Correlation,p-value
jitterDDP_sma_de_lpc0,-0.2731162801119553,0.0023368890680043816
logHNR_sma_de_lpc0,0.24325445779148386,0.0069370087329785265
audSpec_Rfilt_sma[0]_meanPeakDist,0.23608747245670836,0.008846160621328456
audSpec_Rfilt_sma[0]_peakDistStddev,0.2532254248108985,0.004889997379187241
audSpec_Rfilt_sma[0]_stddevRisingSlope,0.29320038508629104,0.0010472831844685635
audSpec_Rfilt_sma[1]_peakDistStddev,0.23541268051973685,0.00904781086196729
audSpec_Rfilt_sma[2]_meanPeakDist,0.24548571005315956,0.00642236086055274
audSpec_Rfilt_sma[2]_peakDistStddev,0.23846327264174275,0.008167386031962555
audSpec_Rfilt_sma[3]_meanPeakDist,0.33363174963338216,0.00017311015541517362
audSpec_Rfilt_sma[3]_peakDistStddev,0.3224902918875735,0.0002916159584054524
audSpec_Rfilt_sma[3]_peakRangeAbs,0.23682538645340484,0.008630194935776788
audSpec_Rfilt_sma[3]_peakMeanRel,0.2394490886576456,0.007899527167888483
audSpec_Rfilt_sma[4]_meanPeakDist,0.2809725016905449,0.0017191399875834993
audSpec_Rfilt_sma[4]_peakDistStddev,0.26333380287446884,0.003383270667423143
audSpec_Rfilt_sma[17]_peakDistStddev,0.23535007304056554,0.009066723911685936
audSpec_Rfilt_sma[18]_meanPeakDist,0.257654099250323,0.004168449780329782
audSpec_Rfilt_sma[18]_peakDistStddev,0.24381213246424055,0.006805062136684742
audSpec_Rfilt_sma[21]_meanPeakDist,0.28458421836632564,0.0014884068126874048
audSpec_Rfilt_sma[21]_peakDistStddev,0.29000615471852126,0.0011945687979340578
audSpec_Rfilt_sma[22]_meanPeakDist,0.35459852123081476,6.139861469442893e-05
audSpec_Rfilt_sma[22]_peakDistStddev,0.32486994007439607,0.0002613129768462774
audSpec_Rfilt_sma[22]_peakRangeAbs,0.23286783423404975,0.009845223555140793
audSpec_Rfilt_sma[23]_meanPeakDist,0.372880169756989,2.3391835438976235e-05
audSpec_Rfilt_sma[23]_peakDistStddev,0.3423816534031981,0.00011332374735145084
audSpec_Rfilt_sma[23]_peakRangeAbs,0.23355240841292024,0.00962485678330619
audSpec_Rfilt_sma[24]_meanPeakDist,0.36540721758552197,3.495008557116464e-05
audSpec_Rfilt_sma[24]_peakDistStddev,0.33711904307357554,0.0001464340483797845
audSpec_Rfilt_sma[25]_meanPeakDist,0.37283415664975833,2.3450452624646284e-05
audSpec_Rfilt_sma[25]_peakDistStddev,0.3489367265873968,8.182131949755523e-05
pcm_fftMag_spectralSkewness_sma_peakRangeRel,-0.2353198336193862,0.009075871393302869
mfcc_sma[1]_meanPeakDist,0.2688452559676807,0.0027511768816948605
mfcc_sma[1]_peakDistStddev,0.2995643069364868,0.0008021316578968771
mfcc_sma[2]_meanPeakDist,0.29928490726191903,0.0008116817090594037
mfcc_sma[2]_peakDistStddev,0.32947595958666,0.0002107732365497255
mfcc_sma[3]_peakDistStddev,0.24254769877427956,0.007107486103240964
mfcc_sma[5]_peakRangeRel,-0.2735518367293904,0.0022979821620945904
audSpec_Rfilt_sma_de[0]_peakDistStddev,0.23242877115201904,0.009988884942609442
audSpec_Rfilt_sma_de[1]_peakDistStddev,0.28926160277023505,0.0012315094999970386
audSpec_Rfilt_sma_de[2]_meanPeakDist,0.2514757397100109,0.005204515209080505
audSpec_Rfilt_sma_de[2]_peakDistStddev,0.2679368541470361,0.0028474084518734398
audSpec_Rfilt_sma_de[3]_meanPeakDist,0.31924498909604976,0.000338195964950508
audSpec_Rfilt_sma_de[3]_peakDistStddev,0.33612460891016344,0.00015362272207648092
audSpec_Rfilt_sma_de[4]_meanPeakDist,0.2566086783128882,0.004329589708021775
audSpec_Rfilt_sma_de[4]_peakDistStddev,0.26036651272977673,0.003775125152219258
audSpec_Rfilt_sma_de[4]_minRangeRel,-0.26214769861847376,0.0035352919625147856
audSpec_Rfilt_sma_de[5]_peakDistStddev,0.23660450288884688,0.008694347746228832
audSpec_Rfilt_sma_de[17]_peakDistStddev,0.24531500046603766,0.006460501991942661
audSpec_Rfilt_sma_de[18]_meanPeakDist,0.24168242354666641,0.007321248796707601
audSpec_Rfilt_sma_de[18]_peakDistStddev,0.2335156265852667,0.009636585652408094
audSpec_Rfilt_sma_de[19]_meanPeakDist,0.23573648651255147,0.008950546629229124
