Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
1.1243939,-16.508514,34.69501,0.05009508,-0.03207964,0.6471844,53.04294,0.9657523,3.2903767,-6.714352,30.204355,0.018756967,1.4210199,10.601464,-4.242184,24.386421,373.02957,1360.6582,-9.941901,1224.0085,966.60504,-14.977305,2621.8782,887.2771,-34.328323
1.0554658,-15.982197,33.754776,0.061380327,-0.03160269,0.49839458,55.72758,-2.9752874,4.2601047,-8.973465,30.234888,0.013523047,0.85178185,10.645432,-2.444084,24.018744,357.29617,1502.7397,-10.818469,1202.0573,1027.5809,-12.987195,2588.5566,792.045,-34.837208
0.9661303,-15.526822,32.96574,0.05655927,-0.031189328,0.39934996,54.331013,-1.2696086,3.6411283,-7.9991665,30.287527,0.0060322993,0.75613403,10.707314,-0.06399027,23.999178,320.8486,1632.7592,-11.632271,1150.9388,1048.3059,-11.790822,2578.5437,586.9778,-35.63145
0.8690559,-14.74659,32.45608,0.043104973,-0.026544085,0.33056888,55.81599,-2.352378,5.773863,-3.990762,30.349686,0.0034268366,0.8132522,10.901561,2.2015936,24.3109,589.1021,1569.227,-13.149472,1643.4791,914.6113,-20.75268,2666.0374,1859.92,-36.625076
0.7685034,-16.697838,32.968624,0.042003214,-0.022813393,0.26707983,51.091885,4.5586133,6.159637,-0.29093418,30.3936,0.0029143344,0.58097863,11.1930685,4.200952,24.718475,787.35345,1280.5587,-14.744575,2022.6289,855.01855,-29.632055,2786.261,2168.119,-37.21063
0.6616168,-20.342932,35.371994,0.036431927,-0.022441788,0.20288746,52.303894,6.7562346,10.621619,-0.24059136,30.392565,0.0030663416,0.5439363,11.243557,5.6404204,26.163515,993.1751,1010.8967,-16.421757,2394.7747,825.21625,-40.511566,2975.8125,2311.0525,-38.450203
0.5983572,-23.08326,37.352097,0.0395313,-0.026977161,0.16309674,49.02837,12.372968,12.288417,-1.4899424,30.312088,0.002844508,0.48886645,11.039256,6.312514,28.472595,901.4383,913.13257,-17.664888,2244.0789,883.4812,-44.285328,3063.9626,1241.4452,-40.32027
0.5740079,-23.972406,38.43085,0.025497416,-0.031327967,0.13700746,48.70843,13.723424,13.531806,-1.7166,30.156408,0.004265397,0.3309302,10.641248,6.287026,30.738882,900.78937,925.0745,-18.738197,2191.3538,844.2264,-46.40112,3096.386,1033.6235,-42.10245
0.5871846,-23.741224,38.383495,0.018950444,-0.033257842,0.124288924,46.610424,16.099834,12.237259,-1.9322461,29.914831,0.0054171267,0.35599232,10.033966,5.445905,38.100063,916.36383,951.6893,-18.702768,2245.8787,731.6503,-46.544933,3338.545,1105.8683,-49.103107
0.606481,-22.419119,38.970005,0.016707057,-0.029480776,0.13688949,46.466747,17.042349,9.557399,-1.3852321,29.590357,0.0069282907,0.37329677,9.207385,4.4419303,43.402843,944.222,992.53467,-17.662943,2323.114,748.5676,-46.086483,3549.664,1090.4615,-53.74416
0.64043266,-19.52347,39.49152,0.021107212,-0.024158299,0.16393405,49.516193,14.69341,5.6543465,0.121803366,29.143341,0.005963446,0.33096907,8.010182,3.0097256,49.91745,1015.0877,1027.974,-16.99402,2441.551,729.6004,-44.93277,3880.586,1286.4938,-59.928738
0.6780396,-15.672035,39.21617,0.022768775,-0.019883044,0.21462166,50.420826,12.7726965,2.0019827,1.4127598,28.565977,0.0045173247,0.14970066,6.7865906,1.6187617,45.168793,793.7641,1375.2681,-14.275754,2054.873,962.8012,-37.1726,3464.0632,1955.0342,-54.66956
0.6937878,-14.555373,37.984264,0.018563986,-0.013665653,0.2958764,55.354416,6.4503613,3.6167824,2.127433,27.675203,0.0028858308,0.011064491,5.5313377,-0.38128218,40.16235,549.3684,1590.103,-12.061214,1618.5323,1036.4591,-29.632769,3017.7766,1782.3864,-49.587917
0.6744334,-16.057053,37.156155,0.014296894,-0.009733943,0.3489469,53.95171,7.57012,4.819471,3.981156,26.722694,0.0028858308,0.011064491,4.5453796,-2.8761637,34.716587,558.02954,1622.4059,-13.876706,1592.0658,1050.5614,-30.011911,2892.212,1537.6763,-44.37946
0.6211405,-19.026724,37.386295,0.012048349,-0.00741189,0.40715623,58.059452,3.9530356,9.572328,5.510761,25.711906,0.0028858308,0.011064491,3.909126,-5.2892056,32.161484,568.92645,1541.522,-11.663348,1613.2467,1098.9943,-29.655523,2883.1914,831.46387,-42.03731
0.5775165,-20.681395,37.93208,0.0086222375,-0.009783618,0.37932345,55.185215,6.905071,10.518026,6.918879,24.850855,0.0028858308,0.011064491,3.3697212,-6.414947,29.944998,614.40753,1460.7524,-9.533559,1650.93,1146.1283,-26.284605,2823.452,948.67096,-39.694965
0.5199093,-19.723167,37.45544,0.0074785496,-0.008630513,0.41240513,54.039806,4.346044,13.130223,4.711717,24.008896,0.0028858308,0.011064491,3.7010267,-6.307472,27.705902,335.2019,1576.4464,-2.3303206,1225.9884,1215.2277,-16.078726,2393.3958,963.5378,-36.343693
0.47286713,-19.295198,35.003437,0.0028277866,-0.009445038,0.36951277,48.47848,6.2831063,13.847809,2.1859927,23.40895,0.0028858308,0.011064491,4.6008453,-5.9797173,26.699263,326.92114,1533.4824,-1.4021925,1162.2198,1102.6378,-11.481697,2293.785,891.36115,-34.081173
0.44868302,-15.664042,30.300203,0.0018243721,-0.009350876,0.3174752,44.68199,3.101628,14.98291,0.6613,23.12352,0.09214962,1.2113128,5.762118,-6.4702287,24.038507,495.47903,1332.5219,-3.3222399,1435.2072,993.95685,-16.616144,2516.6228,730.8178,-30.70832
0.46050677,-13.289719,25.221521,-0.00823428,-0.008214309,0.19000478,42.881794,-1.9371214,18.922066,-0.6370309,23.11547,0.11800569,1.3664333,6.2288036,-7.5616584,20.735182,708.4129,1150.6144,-6.703321,1835.174,926.9842,-22.303488,2716.781,773.8378,-27.652405
0.49346638,-10.394639,22.371267,-0.0075681447,-0.0074373954,0.12395096,42.4799,-6.7366486,22.485888,-3.105236,23.231712,0.11836779,1.7062058,6.220583,-8.59599,21.407583,922.2659,907.30597,-11.15433,2274.2783,831.148,-31.365807,2886.8809,907.39777,-28.89829
0.50409263,-10.886669,22.42022,-0.010783778,-0.0069706184,0.1081058,46.955914,-12.346073,29.94867,-10.238625,23.36287,0.033289805,1.2131643,5.893486,-9.382621,24.688765,941.1883,941.6811,-12.317706,2398.1748,732.3649,-32.489628,2976.4363,1210.7345,-31.846842
0.47829807,-14.393819,26.117514,0.00048581138,-0.0128966505,0.12025956,51.231365,-9.488769,30.09455,-13.184358,23.423437,0.009396932,1.1409355,5.149984,-9.894191,29.557444,700.10815,1203.9917,-10.639105,1981.4346,822.10614,-28.032629,2805.7664,1097.5935,-36.293354
0.45244375,-17.926697,30.814013,0.0051674168,-0.017062325,0.1316228,55.772655,-7.339206,29.826212,-14.793775,23.428205,0.0103400545,0.93505746,4.409096,-11.039165,31.381704,500.25708,1403.3413,-5.473644,1551.3047,895.4216,-23.021719,2722.2244,891.0674,-39.008987
0.4363502,-23.489565,36.732304,0.01418859,-0.023444742,0.18791097,55.944477,1.9820156,23.383377,-12.609553,23.386854,0.011571732,0.8864351,3.9875357,-11.335994,35.184185,295.36942,1606.3031,-1.6990892,1121.2167,1084.9772,-20.781563,2419.0059,718.9761,-44.739033
0.48105145,-26.640646,39.522793,0.011011108,-0.03263342,0.3126808,55.68706,7.831335,22.413458,-15.646865,23.411835,0.015699511,0.8773138,3.699666,-9.949485,37.586918,528.7684,1529.7578,-7.2846656,1465.1708,1125.8473,-33.34578,2648.1643,997.8084,-47.97224
0.51140517,-30.63819,41.24982,0.0019461239,-0.03768308,0.40297902,54.155987,15.698143,20.532202,-15.02926,23.48767,0.017170684,1.5615994,4.055806,-6.8526816,39.94916,560.77826,1489.9176,-12.300572,1637.497,1264.404,-43.12662,2740.199,1277.2816,-49.4373
0.5837896,-33.199337,42.229084,-0.008055959,-0.043932382,0.6039776,55.081924,19.979261,22.255487,-15.632457,23.59941,0.012494214,0.91762424,4.946873,-4.254318,39.989407,726.4528,1462.7887,-19.050512,1955.159,1465.9847,-51.775913,2993.205,1400.4303,-48.327755
0.61790735,-35.514423,44.05582,-0.009792409,-0.047103185,0.6116331,55.48647,23.442835,22.053915,-13.936526,23.719652,0.015733581,2.1213253,6.0436974,-3.2709367,39.835033,682.6103,1533.7184,-18.562502,1941.5889,1517.8652,-52.90434,2970.803,1408.2325,-48.151
